                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    220,                 0.5429,                0.28675,                0.90443,                 0.9891,                0.98093,                 0.9885,                0.80431,                0.88261,                0.33109,                 1.0497,              0.0078418,              0.0078418,              0.0078418
                    221,                0.54358,                0.28673,                0.90422,                0.99347,                0.98709,                0.98802,                 0.8041,                0.87697,                0.32812,                 1.0499,              0.0078319,              0.0078319,              0.0078319
                    222,                0.53976,                0.28635,                0.90724,                0.97625,                0.96955,                0.98507,                0.79582,                0.89531,                0.35082,                 1.0581,               0.007822,               0.007822,               0.007822
                    223,                0.53424,                 0.2874,                0.90498,                0.98327,                 0.9766,                0.98567,                 0.7971,                0.88637,                0.33991,                 1.0549,              0.0078121,              0.0078121,              0.0078121
                    224,                0.53691,                0.28681,                0.90353,                0.98322,                0.96603,                0.98611,                0.80241,                0.87353,                0.34401,                 1.0464,              0.0078022,              0.0078022,              0.0078022
                    225,                 0.5341,                0.28534,                0.90105,                0.98588,                0.97731,                 0.9861,                0.80179,                0.87637,                0.33132,                 1.0442,              0.0077923,              0.0077923,              0.0077923
                    226,                0.53146,                0.28492,                0.90121,                0.99273,                0.98347,                0.98763,                0.80386,                0.87491,                0.32937,                 1.0503,              0.0077824,              0.0077824,              0.0077824
                    227,                0.53069,                0.28476,                0.90255,                0.98597,                0.97806,                 0.9843,                0.79633,                0.88532,                0.33793,                 1.0534,              0.0077725,              0.0077725,              0.0077725
                    228,                0.53445,                0.28328,                0.90604,                0.98647,                0.97434,                0.98626,                0.79854,                0.88559,                0.33978,                 1.0523,              0.0077626,              0.0077626,              0.0077626
                    229,                0.52232,                0.27873,                0.89722,                0.97823,                0.95443,                0.97769,                 0.7904,                0.89112,                0.38795,                 1.0525,              0.0077527,              0.0077527,              0.0077527
                    230,                0.52506,                0.27711,                0.89913,                0.99083,                0.98452,                0.98653,                0.80558,                0.87501,                0.32336,                 1.0451,              0.0077428,              0.0077428,              0.0077428
